Facility Number,Facility Name,Region,District,Council,Facility Type
10866903,Mashule,Kagera,Bukoba,Bukoba DC,Dispensary
10440604,Masieda,Manyara,Mbulu,Mbulu DC,Dispensary
11024009,Masigira,Ruvuma,Songea,Songea MC,Dispensary
11338000,Masigo,Katavi,Mlele,Mlele DC,Dispensary
11273702,Masika,Morogoro,Morogoro,Morogoro MC,Health Labs - Level IA2 (Dispensary Laboratory)
10440702,Masika,Dar es Salaam,Ilala,Ilala MC,Dispensary
10440800,Masike,Mara,Rorya,Rorya DC,Dispensary
11384307,Masimavalafu,Njombe,Ludewa,Ludewa DC,Dispensary
11088306,Masimba,Morogoro,Mvomero,Mvomero DC,Dispensary
10441006,Masimbani,Pwani,Bagamoyo,Chalinze DC,Dispensary
10441104,Masimbwe,Njombe,Ludewa,Ludewa DC,Dispensary
10441202,Masinki,Mara,Serengeti,Serengeti DC,Dispensary
10441300,Masinono,Mara,Musoma,Musoma DC,Dispensary
10441408,Masisiwe,Iringa,Kilolo,Kilolo DC,Dispensary
10441603,Maskati,Morogoro,Mvomero,Mvomero DC,Dispensary
10441701,Maskati Mission,Morogoro,Mvomero,Mvomero DC,Health Center
10441809,Masoko,Mbeya,Rungwe,Rungwe DC,Dispensary
10441907,Masoko,Lindi,Kilwa,Kilwa DC,Health Center
11274603,Masome,Morogoro,Mvomero,Mvomero DC,Health Labs - Level IA2 (Dispensary Laboratory)
11432808,Masonga,Pwani,Kibaha,Kibaha DC,Health Labs - Level IA2 (Dispensary Laboratory)
10442005,Masonga HC,Mara,Rorya,Rorya DC,Health Center
10442103,Masqaroda,Manyara,Mbulu,Mbulu DC,Dispensary
11455105,Massenga,Mwanza,Misungwi,Misungwi DC,Dispensary
11435609,Massoro,Mara,Musoma,Musoma MC,Health Labs - Level IA2 (Dispensary Laboratory)
10442407,Masuguru,Mtwara,Nanyumbu,Nanyumbu DC,Dispensary
10442504,Masuguru,Pwani,Bagamoyo,Chalinze DC,Dispensary
10442602,Masuguru,Ruvuma,Namtumbo,Namtumbo DC,Dispensary
10442700,Masuguru,Ruvuma,Tunduru,Tunduru DC,Dispensary
10442808,Masukulu,Mbeya,Rungwe,Rungwe DC,Health Center
10442906,Masumbwe,Geita,Mbogwe,Mbogwe DC,Health Center
10443004,Masurura,Mara,Butiama,Butiama DC,Dispensary
10443102,Masusante,Shinyanga,Kishapu,Kishapu DC,Dispensary
10920809,Maswa,Simiyu,Maswa,Maswa DC,Hospital - District Hospital
11291005,Maswa Eye Care,Manyara,Babati,Babati TC,Clinic - Optometry Clinic
10443308,Maswa Sec,Simiyu,Maswa,Maswa DC,Dispensary
11376502,Maswanya,Tabora,Uyui,Uyui DC,Dispensary
10443406,Masware,Manyara,Babati,Babati DC,Dispensary
10443601,Matai,Rukwa,Kalambo,Kalambo DC,Health Center
11002201,Matai VA,Rukwa,Kalambo,Kalambo DC,Dispensary
10443807,Matala,Arusha,Karatu,Karatu DC,Dispensary
10443905,Matale,Morogoro,Mvomero,Mvomero DC,Dispensary
10444101,Matale,Mwanza,Magu,Magu DC,Dispensary
10444307,Matale,Simiyu,Bariadi,Bariadi TC,Dispensary
11186904,Matale,Mwanza,Misungwi,Misungwi DC,Dispensary
10444003,Matale,Arusha,Longido,Longido DC,Dispensary
10850402,Matale B,Arusha,Longido,Longido DC,Dispensary
10444405,Matamba,Njombe,Makete,Makete DC,Health Center
10444502,Matambalale,Lindi,Ruangwa,Ruangwa DC,Dispensary
10852801,Matambwe Game Reserve,Morogoro,Morogoro,Morogoro DC,Dispensary
10972600,Matanana,Iringa,Mafinga,Mafinga TC,Dispensary
10444600,Matandu,Lindi,Kilwa,Kilwa DC,Dispensary
10444708,Matanga,Rukwa,Sumbawanga,Sumbawanga MC,Dispensary
10444806,Matarawe,Ruvuma,Songea,Songea MC,Dispensary
11388009,Matarawe,Njombe,Njombe,Njombe TC,Dispensary
10444904,Matare,Singida,Ikungi,Ikungi DC,Dispensary
11436500,Matata,Mwanza,Sengerema,Sengerema DC,Health Labs - Level IA2 (Dispensary Laboratory)
10445002,Mataya,Pwani,Bagamoyo,Bagamoyo DC,Dispensary
10445100,Mateka A,Ruvuma,Songea,Songea MC,Dispensary
10445208,Matekela,Ruvuma,Mbinga,Mbinga DC,Dispensary
10445306,Matekwe,Lindi,Nachingwea,Nachingwea DC,Dispensary
11103600,Matema,Morogoro,Kilombero,Mlimba DC,Dispensary
10445501,Matema Lutheran,Mbeya,Kyela,Kyela DC,Hospital - Hospital at District Level
10445609,Matemanga,Ruvuma,Tunduru,Tunduru DC,Health Center
10849406,Matembwe,Njombe,Njombe,Njombe DC,Health Center
11089608,Matembwe,Njombe,Njombe,Njombe DC,Dispensary
10445805,Matemela,Mbeya,Mbarali,Mbarali DC,Dispensary
11286404,Matemenji Vision Centre,Dodoma,Chamwino,Chamwino DC,Clinic - Optometry Clinic
10445903,Matendo,Kigoma,Kigoma,Kigoma DC,Dispensary
10446109,Matepwende Lusewa,Ruvuma,Namtumbo,Namtumbo DC,Dispensary
11225701,MATERNAL AND CHILD CARE,Mtwara,Mtwara,Mtwara MC,Dispensary
10446305,Materuni,Kilimanjaro,Moshi,Moshi DC,Dispensary
10446403,Matetereka,Ruvuma,Songea,Madaba DC,Dispensary
10981208,Mateves,Arusha,Arusha,Arusha CC,Dispensary
10435503,MATI Uyole,Mbeya,Mbeya,Mbeya CC,Dispensary
11137904,Matiganjola,Njombe,Njombe,Njombe DC,Dispensary
11133007,Matimbwa,Pwani,Bagamoyo,Bagamoyo DC,Health Center
10446706,Matimira,Ruvuma,Songea,Songea DC,Dispensary
11296000,Matipa,Lindi,Lindi,Lindi DC,Health Labs - Level IA2 (Dispensary Laboratory)
10447108,Matipwili,Pwani,Bagamoyo,Chalinze DC,Dispensary
10447206,Matiri,Ruvuma,Mbinga,Mbinga DC,Dispensary
11471301,Matogolo,Simiyu,Itilima,Itilima DC,Dispensary
10447304,Matogorokati,Ruvuma,Songea,Songea MC,Dispensary
10447402,Matola,Njombe,Njombe,Njombe TC,Dispensary
10447607,Matomondo,Ruvuma,Songea,Songea DC,Dispensary
11097305,Matongo,Mara,Tarime,Tarime DC,Dispensary
10447803,Matongo,Singida,Ikungi,Ikungi DC,Dispensary
10961202,Matongo,Mara,Butiama,Butiama DC,Dispensary
10967206,Matongo Gerezani,Simiyu,Bariadi,Bariadi DC,Dispensary
10448009,Matongo I,Simiyu,Bariadi,Bariadi DC,Dispensary
10448107,Matongoro,Dodoma,Kongwa,Kongwa DC,Dispensary
10448205,Matonya,Dodoma,Mpwapwa,Mpwapwa DC,Dispensary
10448303,Matovolwa,Dodoma,Dodoma,Dodoma MC,Health Center
10448401,Matui Azimio,Manyara,Kiteto,Kiteto DC,Dispensary
11080108,Matuli,Morogoro,Morogoro,Morogoro DC,Dispensary
10448606,Matuli,Pwani,Bagamoyo,Chalinze DC,Dispensary
11136004,Matumaini,Shinyanga,Kahama,Kahama TC,Dispensary
11264106,Matumaini,Morogoro,Morogoro,Morogoro MC,Health Labs - Level IA2 (Dispensary Laboratory)
10448704,Matumaini COGI,Kilimanjaro,Hai,Hai DC,Dispensary
10448802,Matumbo,Singida,Singida,Singida DC,Dispensary
10448900,Matumbulu,Dodoma,Dodoma,Dodoma MC,Dispensary
10449008,Matundasi,Mbeya,Chunya,Chunya DC,Dispensary
10918000,Matwiga,Mbeya,Chunya,Chunya DC,Dispensary
10449204,Matyazo,Kigoma,Kigoma,Kigoma DC,Health Center
10449302,Matyuku,Singida,Ikungi,Ikungi DC,Dispensary
10449400,Maua,Kilimanjaro,Moshi,Moshi DC,Dispensary
10449507,Maundo,Mtwara,Tandahimba,Tandahimba DC,Dispensary
11342102,Mauno,Dodoma,Kondoa,Kondoa DC,Health Center
11062208,Mauto Medical Care,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
10943303,Mautya,Dodoma,Kongwa,Kongwa DC,Dispensary
10449605,Mavala,Njombe,Ludewa,Ludewa DC,Dispensary
10449703,Mavande,Njombe,Njombe,Makambako TC,Dispensary
10449909,Mavanga,Njombe,Ludewa,Ludewa DC,Health Center
11119309,Mavanga,Njombe,Ludewa,Ludewa DC,Dispensary
11270705,Mavimba,Morogoro,Ulanga,Ulanga DC,Health Labs - Level IA2 (Dispensary Laboratory)
10450004,Mavota,Kagera,Biharamulo,Biharamulo DC,Dispensary
10450102,Mavuji,Lindi,Kilwa,Kilwa DC,Dispensary
11100701,Mavului,Tanga,Lushoto,Bumbuli DC,Dispensary
10450308,Mavului,Tanga,Lushoto,Lushoto DC,Dispensary
10450200,Mavumo,Tanga,Lushoto,Lushoto DC,Dispensary
10450406,Mavurunza,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
10450503,Mawa,Ruvuma,Namtumbo,Namtumbo DC,Dispensary
11154305,Mawaki,Iringa,Kilolo,Kilolo DC,Dispensary
10450601,Mawambala,Iringa,Kilolo,Kilolo DC,Dispensary
11429304,Mawasiliano,Dar es Salaam,Ubungo,Ubungo MC,Health Labs - Level IA2 (Dispensary Laboratory)
10450709,Mawela,Kilimanjaro,Moshi,Moshi DC,Dispensary
10450905,Mawemairo,Manyara,Babati,Babati DC,Dispensary
10451003,Mawemilu,Shinyanga,Shinyanga,Shinyanga DC,Dispensary
10451101,Mawengi,Njombe,Ludewa,Ludewa DC,Dispensary
10871309,Maweni,Kigoma,Kigoma,Kigoma Ujiji MC,Hospital - Regional Referral Hospital
10451307,Maweni Prison,Tanga,Tanga,Tanga CC,Dispensary
10451405,Mawenzi,Kilimanjaro,Moshi,Moshi MC,Hospital - Regional Referral Hospital
10451502,Mawenzusi,Rukwa,Sumbawanga,Sumbawanga MC,Dispensary
11307604,Maweso,Ruvuma,Songea,Songea MC,Health Labs - Level IA2 (Dispensary Laboratory)
10451600,Maweso,Ruvuma,Songea,Madaba DC,Dispensary
10451708,Mawindi,Mbeya,Mbarali,Mbarali DC,Health Center
10410209,Maxoromba,Arusha,Karatu,Karatu DC,Dispensary
11294805,Maya,Lindi,Nachingwea,Nachingwea DC,Dispensary
10874501,Mayday,Kagera,Biharamulo,Biharamulo DC,Dispensary
11130509,Mayembe chini,Mtwara,Mtwara,Nanyamba TC,Dispensary
10451904,Mayenzi,Kagera,Ngara,Ngara DC,Dispensary
10452002,Mayo,Tanga,Lushoto,Bumbuli DC,Dispensary
10452100,Mayo Kisiwani,Tanga,Lushoto,Bumbuli DC,Dispensary
10452208,Mayoka,Manyara,Babati,Babati DC,Dispensary
10452306,Mayombo,Tabora,Uyui,Uyui DC,Dispensary
11108605,Mayomboni,Tanga,Mkinga,Mkinga DC,Dispensary
10452609,Mayuya,Mwanza,Sengerema,Sengerema DC,Dispensary
10452707,Mazae,Dodoma,Mpwapwa,Mpwapwa DC,Dispensary
10948406,Mazimbo,Mbeya,Chunya,Chunya DC,Dispensary
10452903,Mazinde,Tanga,Korogwe,Korogwe DC,Dispensary
10453109,Mazinga,Kagera,Muleba,Muleba DC,Dispensary
10453207,Mazingara,Tanga,Handeni,Handeni DC,Dispensary
10453305,Mazinge,Tabora,Sikonge,Sikonge DC,Health Center
11051201,Maziwa,Dodoma,Chemba,Chemba DC,Dispensary
11186600,Mazizi,Pwani,Bagamoyo,Chalinze DC,Dispensary
11280507,Mazoezi Tiba Mwanza,Mwanza,Nyamagana,Nyamagana MC,Clinic - Physiotherapy Clinic
11479009,Mazola Kilifi,Tanga,Mkinga,Mkinga DC,Dispensary
10453608,Mazombe,Iringa,Kilolo,Kilolo DC,Dispensary
11242309,Mazungwe,Kigoma,Uvinza,Uvinza DC,Dispensary
10453706,Mazwi,Rukwa,Sumbawanga,Sumbawanga MC,Health Center
10453804,Mbaashi,Arusha,Monduli,Monduli DC,Dispensary
10454000,Mbabala A,Dodoma,Dodoma,Dodoma MC,Dispensary
10454108,Mbabala B,Dodoma,Dodoma,Dodoma MC,Dispensary
11265203,Mbaga,Dar es Salaam,Ilala,Ilala MC,Dispensary
11261207,Mbagala,Dar es Salaam,Temeke,Temeke MC,Clinic - Optometry Clinic
11027701,Mbagala Kizuiani,Dar es Salaam,Temeke,Temeke MC,Dispensary
11081508,Mbagala Kuu,Dar es Salaam,Temeke,Temeke MC,Dispensary
10454705,Mbagala Rangi Tatu,Dar es Salaam,Temeke,Temeke MC,Health Center
11027603,Mbagala Round Table,Dar es Salaam,Temeke,Temeke MC,Health Center
10454901,Mbaghai,Tanga,Korogwe,Korogwe DC,Dispensary
10455009,Mbagilwa,Dodoma,Kongwa,Kongwa DC,Dispensary
10455205,Mbagwi,Tanga,Handeni,Handeni DC,Dispensary
10455303,Mbaha,Ruvuma,Nyasa,Nyasa DC,Dispensary
11115606,Mbahe,Kilimanjaro,Moshi,Moshi DC,Dispensary
10916208,Mbala,Songwe,Songwe,Songwe DC,Dispensary
10455508,Mbalagane,Simiyu,Meatu,Meatu DC,Dispensary
11086406,Mbalama,Mwanza,Misungwi,Misungwi DC,Dispensary
11131900,Mbalamaziwa,Iringa,Mufindi,Mufindi DC,Health Center
10455606,Mbalatse,Njombe,Makete,Makete DC,Dispensary
10455704,Mbalawala,Dodoma,Dodoma,Dodoma MC,Dispensary
10455900,Mbalibali,Mara,Serengeti,Serengeti DC,Dispensary
11258408,Mbalilwa,Geita,Geita,Geita DC,Maternity Home
10867608,Mbalizi,Mbeya,Mbeya,Mbeya DC,Hospital - Council Designated Hospital
10456008,Mbalizi,Mbeya,Mbeya,Mbeya DC,Dispensary
10456106,Mbalizi Military,Mbeya,Mbeya,Mbeya DC,Hospital - Hospital at District Level
11297606,Mbalizi Optics,Mbeya,Mbeya,Mbeya DC,Clinic - Optometry Clinic
11074302,Mbalizi Secondary,Mbeya,Mbeya,Mbeya DC,Dispensary
10456302,Mbamba,Morogoro,Kilosa,Kilosa DC,Dispensary
10456400,Mbambabay,Ruvuma,Nyasa,Nyasa DC,Health Center
10984009,Mbambara,Tanga,Muheza,Muheza DC,Dispensary
10466701,Mbambe,Pwani,Rufiji,Rufiji DC,Dispensary
10930200,Mbambo,Mbeya,Rungwe,Busokelo DC,Dispensary
10456605,Mbande,Dodoma,Kongwa,Kongwa DC,Dispensary
10456507,Mbande,Dar es Salaam,Temeke,Temeke MC,Dispensary
11258907,Mbanga,Mbeya,Mbeya,Mbeya CC,Health Labs - Level III single purpose Health Laboratory
10456703,Mbangala,Songwe,Songwe,Songwe DC,Dispensary
10456801,Mbangamao,Ruvuma,Mbinga,Mbinga TC,Dispensary
10456909,Mbangamawe,Ruvuma,Songea,Madaba DC,Dispensary
10457007,Mbanja,Lindi,Lindi,Lindi MC,Dispensary
10457105,Mbarali,Mbeya,Mbarali,Mbarali DC,Hospital - District Hospital
10457301,Mbaramo,Tanga,Lushoto,Lushoto DC,Dispensary
10457409,Mbarika,Mwanza,Misungwi,Misungwi DC,Health Center
10457604,Mbaru,Tanga,Lushoto,Lushoto DC,Dispensary
10457702,Mbatakero,Kilimanjaro,Hai,Hai DC,Dispensary
10457800,Mbatamila,Ruvuma,Tunduru,Tunduru DC,Dispensary
10457908,Mbati,Ruvuma,Tunduru,Tunduru DC,Dispensary
10458006,Mbawala,Mtwara,Mtwara,Mtwara DC,Dispensary
10458300,Mbaya,Songwe,Mbozi,Mbozi DC,Dispensary
10458202,Mbaya,Lindi,Liwale,Liwale DC,Dispensary
10458408,Mbebe,Songwe,Ileje,Ileje DC,Dispensary
11235709,Mbecha,Lindi,Ruangwa,Ruangwa DC,Dispensary
10458505,Mbede,Katavi,Mlele,Mpimbwe DC,Dispensary
10458603,Mbega,Njombe,Njombe,Njombe TC,Dispensary
10458701,Mbegani,Pwani,Bagamoyo,Bagamoyo DC,Dispensary
10458809,Mbekenyera,Lindi,Ruangwa,Ruangwa DC,Health Center
10459005,Mbelei,Tanga,Lushoto,Bumbuli DC,Dispensary
10459103,Mbelekese,Singida,Iramba,Iramba DC,Dispensary
10459201,Mbemba,Mtwara,Masasi,Masasi DC,Dispensary
10459309,Mbembaleo,Mtwara,Mtwara,Nanyamba TC,Dispensary
10459407,Mbesa,Ruvuma,Tunduru,Tunduru DC,Hospital - Hospital at District Level
11016606,Mbete,Morogoro,Morogoro,Morogoro MC,Dispensary
10992704,Mbewe,Songwe,Mbozi,Mbozi DC,Dispensary
10460306,Mbeya,Mbeya,Mbeya,Mbeya CC,Dispensary
10460100,Mbeya,Mbeya,Mbeya,Mbeya CC,Hospital - Referral Hospital at Zonal Level
10460208,Mbeya,Mbeya,Mbeya,Mbeya CC,Hospital - Regional Referral Hospital
11398105,Mbeya,Mbeya,Mbeya,Mbeya DC,Hospital - District Hospital
11419609,Mbeya Optical Centre,Mbeya,Mbeya,Mbeya CC,Clinic - Optometry Clinic
11409601,Mbeya TBL,Mbeya,Mbeya,Mbeya CC,Dispensary
10868705,Mbezi,Dar es Salaam,Ubungo,Ubungo MC,Health Center
10865502,Mbezi,Dar es Salaam,Kinondoni,Kinondoni MC,Health Center
11349506,Mbezi beach,Dar es Salaam,Kinondoni,Kinondoni MC,Health Labs - Level IA1 (Health Center Laboratory)
10868509,Mbezi Luguruni,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11223008,Mbezi Mazulu,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11075604,Mbezi Medical,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic - Other Clinic
11108008,Mbezi mlungwana,Pwani,Mkuranga,Mkuranga DC,Dispensary
10998708,Mbigili,Mbeya,Rungwe,Busokelo DC,Dispensary
10964101,Mbigili,Iringa,Kilolo,Kilolo DC,Dispensary
11470106,Mbigiri,Morogoro,Mvomero,Mvomero DC,Dispensary
11459307,Mbijiwe Diagnostic Limited,Kilimanjaro,Moshi,Moshi MC,Clinic - Diagnostic Centre
10461403,Mbimbi,Ruvuma,Namtumbo,Namtumbo DC,Dispensary
10461500,Mbindi,Kagera,Biharamulo,Biharamulo DC,Dispensary
11306605,Mbinga,Ruvuma,Mbinga,Mbinga TC,Health Labs - Level IA2 (Dispensary Laboratory)
10461706,Mbinga Han,Ruvuma,Mbinga,Mbinga TC,Dispensary
10461804,Mbinga Mhalule,Ruvuma,Songea,Songea DC,Dispensary
11022207,Mbinga Prison,Ruvuma,Mbinga,Mbinga TC,Dispensary
10461608,Mbinga TC,Ruvuma,Mbinga,Mbinga TC,Hospital - District Hospital
11118603,Mbingu,Morogoro,Kilombero,Mlimba DC,Dispensary
11213206,Mbizi,Shinyanga,Kahama,Msalala DC,Dispensary
10462108,Mboga,Pwani,Bagamoyo,Chalinze DC,Dispensary
11284200,Mbogoshi,Geita,Geita,Geita TC,Health Labs - Level IA2 (Dispensary Laboratory)
10462304,Mbogwe,Tabora,Nzega,Nzega TC,Dispensary
10462402,Mbokomu,Kilimanjaro,Moshi,Moshi DC,Dispensary
11121403,Mbola,Tabora,Uyui,Uyui DC,Dispensary
11208105,Mbonde,Lindi,Liwale,Liwale DC,Dispensary
10462705,Mbonde,Mtwara,Masasi,Masasi TC,Health Center
10462803,Mbondo,Lindi,Nachingwea,Nachingwea DC,Dispensary
10462901,Mbongo,Njombe,Ludewa,Ludewa DC,Dispensary
10939201,Mboni,Kilimanjaro,Moshi,Moshi DC,Dispensary
10463009,Mbonile,Mbeya,Mbeya,Mbeya DC,Dispensary
10463107,Mbono,Kilimanjaro,Same,Same DC,Dispensary
10463205,Mbooga,Tabora,Nzega,Nzega DC,Dispensary
10463303,Mbopo,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
10463401,Mbore,Kilimanjaro,Mwanga,Mwanga DC,Dispensary
10463508,Mbori,Dodoma,Mpwapwa,Mpwapwa DC,Dispensary
10463606,Mbosho RC,Kilimanjaro,Hai,Hai DC,Dispensary
10463704,Mbozi,Songwe,Mbozi,Mbozi DC,Hospital - Hospital at District Level
10463900,Mbuba,Kagera,Ngara,Ngara DC,Dispensary
10464008,Mbuchi,Pwani,Rufiji,Kibiti DC,Dispensary
10464106,Mbuga,Dodoma,Mpwapwa,Mpwapwa DC,Dispensary
10464204,Mbuga,Morogoro,Ulanga,Ulanga DC,Dispensary
10464400,Mbuga Nyekundu,Arusha,Karatu,Karatu DC,Health Center
10464302,Mbuga RC,Dodoma,Mpwapwa,Mpwapwa DC,Dispensary
10921407,Mbugani,Mbeya,Chunya,Chunya DC,Dispensary
11339508,Mbugani,Mwanza,Nyamagana,Nyamagana MC,Health Labs - Level IA2 (Dispensary Laboratory)
10464801,Mbugani,Njombe,Njombe,Makambako TC,Dispensary
10464703,Mbugani,Mwanza,Nyamagana,Nyamagana MC,Dispensary
10464909,Mbugayabahya,Simiyu,Meatu,Meatu DC,Dispensary
10465007,Mbugulaji,Ruvuma,Tunduru,Tunduru DC,Dispensary
10465105,Mbuguni,Arusha,Arumeru,Meru DC,Health Center
11045200,Mbuji,Ruvuma,Mbinga,Mbinga DC,Dispensary
11430604,Mbuke,Morogoro,Morogoro,Morogoro DC,Health Labs - Level IA2 (Dispensary Laboratory)
11149401,Mbulani,Pwani,Mkuranga,Mkuranga DC,Dispensary
10465301,Mbuli,Ruvuma,Nyasa,Nyasa DC,Dispensary
11167408,Mbulizaga,Tanga,Pangani,Pangani DC,Dispensary
11154608,Mbulu,Songwe,Mbozi,Mbozi DC,Dispensary
11132106,Mbulu,Manyara,Mbulu,Mbulu TC,Hospital - District Hospital
10465604,Mbuluma,Rukwa,Kalambo,Kalambo DC,Dispensary
11389204,Mbunjumvuleni,Pwani,Rufiji,Rufiji DC,Dispensary
11186405,Mburahati,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
10466006,Mburusa,Mtwara,Nanyumbu,Nanyumbu DC,Dispensary
10466104,Mbushi,Simiyu,Meatu,Meatu DC,Dispensary
10466300,Mbutu,Tabora,Nzega,Nzega DC,Dispensary
10466202,Mbutu,Tabora,Igunga,Igunga DC,Dispensary
10466408,Mbutu,Dar es Salaam,Kigamboni,Kigamboni MC,Dispensary
10466505,Mbuya,Morogoro,Morogoro,Morogoro MC,Dispensary
10466809,Mbuyuni,Arusha,Monduli,Monduli DC,Dispensary
10467103,Mbuyuni,Mbeya,Mbarali,Mbarali DC,Dispensary
10467201,Mbuyuni,Mtwara,Masasi,Masasi DC,Dispensary
10917706,Mbuyuni,Songwe,Songwe,Songwe DC,Health Center
10467309,Mbuyuni,Arusha,Arusha,Arusha DC,Health Center
10467504,Mbuza,Rukwa,Kalambo,Kalambo DC,Dispensary
10467602,Mbuzii,Tanga,Lushoto,Bumbuli DC,Dispensary
10101301,Mbwambo,Kilimanjaro,Moshi,Moshi MC,Hospital - Hospital at District Level
10482603,MBWAMBO,Pwani,Bagamoyo,Chalinze DC,Dispensary
10467808,Mbwara,Pwani,Rufiji,Rufiji DC,Dispensary
10468004,Mbwawa,Pwani,Kibaha,Kibaha TC,Dispensary
11451207,MBWEI,Tanga,Lushoto,Lushoto DC,Dispensary
10468102,Mbwemkuru,Lindi,Kilwa,Kilwa DC,Dispensary
10468200,Mbweni,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
10468308,Mbweni B,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
11062609,Mbweni JKT,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
10468503,Mbwera,Pwani,Rufiji,Kibiti DC,Health Center
10468601,Mbwewe,Pwani,Bagamoyo,Chalinze DC,Dispensary
11094102,Mbwewe Tyma,Pwani,Bagamoyo,Chalinze DC,Dispensary
10468709,Mbwila,Njombe,Ludewa,Ludewa DC,Dispensary
11446606,MCD Life Care,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11068202,MCDIT,Dar es Salaam,Ubungo,Ubungo MC,Health Center
11267700,MCH,Dar es Salaam,Ilala,Ilala MC,Dispensary
11425905,MCH,Dar es Salaam,Ilala,Ilala MC,Health Labs - Level IA2 (Dispensary Laboratory)
11129708,Mchakama,Lindi,Kilwa,Kilwa DC,Dispensary
10468807,Mcharo,Mara,Bunda,Bunda TC,Dispensary
10469003,Mchichira,Mtwara,Tandahimba,Tandahimba DC,Dispensary
10469101,Mchinga,Lindi,Lindi,Lindi DC,Dispensary
10469209,Mchinga,Pwani,Rufiji,Kibiti DC,Dispensary
11247607,Mcholi Godauni,Mtwara,Newala,Newala TC,Dispensary
10469307,Mchombe,Morogoro,Kilombero,Mlimba DC,Dispensary
10469405,Mchomoro,Ruvuma,Namtumbo,Namtumbo DC,Dispensary
11114705,Mchonda,Lindi,Nachingwea,Nachingwea DC,Dispensary
10469502,Mchoteka,Ruvuma,Tunduru,Tunduru DC,Health Center
10469600,Mchukwi,Pwani,Rufiji,Kibiti DC,Dispensary
10469708,Mchukwi Mission,Pwani,Rufiji,Kibiti DC,Hospital - Hospital at District Level
10469806,Mchungu,Pwani,Rufiji,Kibiti DC,Dispensary
11437705,mchungumani,Geita,Geita,Geita DC,Health Labs - Level IA2 (Dispensary Laboratory)
10834109,Mchuo,Tabora,Igunga,Igunga DC,Dispensary
10469904,Mchuruka,Ruvuma,Tunduru,Tunduru DC,Dispensary
11094503,MCW Dental,Ruvuma,Songea,Songea MC,Clinic
11340505,MD Mult Specialised,Dar es Salaam,Kinondoni,Kinondoni MC,Hospital - Super Specialized Hospital at National Level
10470000,Mdabulo,Iringa,Mufindi,Mufindi DC,Dispensary
10470206,Mdandu,Njombe,Wanging'ombe,Wanging'ombe DC,Dispensary
10470402,Mdilu,Singida,Singida,Singida DC,Dispensary
10470509,Mdimba,Mtwara,Tandahimba,Tandahimba DC,Dispensary
10470607,Mdimni,Pwani,Mkuranga,Mkuranga DC,Dispensary
10470705,Mdwema,Ruvuma,Namtumbo,Namtumbo DC,Dispensary
10470803,Mea - mtwaro,Ruvuma,Tunduru,Tunduru DC,Dispensary
10470901,Meatu,Simiyu,Meatu,Meatu DC,Hospital - District Hospital
11165605,Mebu,Dar es Salaam,Ilala,Ilala MC,Dispensary
11049705,Med check,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
11257800,Medari,Mara,Musoma,Musoma MC,Health Labs
11068300,Medcorp,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic - Other Clinic
11211903,Medecs Plus,Tanga,Tanga,Tanga CC,Clinic - Other Clinic
10471303,Medewell,Pwani,Kibaha,Kibaha TC,Health Center
11448800,Medgrin,Dar es Salaam,Temeke,Temeke MC,Dispensary
11350806,Medical Lab mchikichini,Dar es Salaam,Ilala,Ilala MC,Health Labs - Level IA2 (Dispensary Laboratory)
10471606,Medical Research (NIMR),Mwanza,Ilemela,Ilemela MC,Health Center
10564908,Medicare,Tanga,Muheza,Muheza DC,Dispensary
10471704,Medicare Dental,Njombe,Njombe,Makambako TC,Clinic - Dental Clinic
11219503,Medicorps,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
11375406,Medilife,Dar es Salaam,Ilala,Ilala MC,Dispensary
11199909,Megacare,Arusha,Arusha,Arusha CC,Health Labs - Level IA1 (Health Center Laboratory)
11110807,Megra,Dar es Salaam,Ubungo,Ubungo MC,Clinic - Dental Clinic
11068408,Megra Medical,Dar es Salaam,Ubungo,Ubungo MC,Clinic - Specialized Polyclinic
11323506,Mehta's,Mara,Serengeti,Serengeti DC,Dispensary
10472106,Meig's Bunju,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
10472008,MEIGHS,Morogoro,Kilombero,Mlimba DC,Dispensary
10472302,Meka,Tanga,Pangani,Pangani DC,Dispensary
10472400,Mekomariro,Mara,Bunda,Bunda DC,Dispensary
10472507,Melela,Morogoro,Mvomero,Mvomero DC,Health Center
11252306,Mema,Pwani,Kibaha,Kibaha DC,Dispensary
10472605,Membe,Dodoma,Chamwino,Chamwino DC,Dispensary
10472909,Mendo,Shinyanga,Shinyanga,Shinyanga DC,Dispensary
10473007,Mengeni Kitasha,Kilimanjaro,Rombo,Rombo DC,Dispensary
